1,1,0,15,1,1,2,4,3,1,4,24
5,1,20,2,1,1,22,5,5,1,1,23
6,1,20,7,2,1,3,2,3,2,4,23
7,1,0,15,1,1,13,22,3,2,4,15
15,1,1,29,2,1,15,4,3,2,7,22
16,1,13,6,2,4,5,22,3,2,4,22
18,1,20,22,2,1,22,15,4,2,4,22
19,1,4,7,2,5,17,8,3,3,6,23
20,1,1,9,2,1,2,4,3,2,7,21
22,1,20,4,2,1,4,15,3,2,7,22
24,1,1,22,2,4,6,9,3,2,4,22
25,1,20,13,2,1,2,4,3,1,4,17
26,1,20,7,1,1,3,22,3,3,4,20
29,1,20,17,2,1,14,3,3,2,4,17
30,1,1,19,1,1,3,22,3,2,4,23
31,1,20,4,1,5,12,22,5,1,1,17
32,1,1,4,1,3,22,22,5,3,1,23
33,1,4,18,2,1,2,22,3,3,4,23
43,1,0,4,2,1,3,22,5,3,1,23
44,1,2,9,2,1,16,5,4,1,2,24
45,1,2,9,2,1,2,4,3,2,6,23
46,1,7,29,2,22,16,5,5,1,1,18
47,1,20,22,2,1,14,3,5,3,1,22
48,1,0,22,1,22,3,2,3,2,4,13
49,1,0,14,2,4,13,6,4,2,2,16
50,1,0,14,2,4,18,13,3,2,4,16
51,1,0,14,2,1,5,6,4,3,2,7
52,1,20,2,2,3,4,15,3,2,4,15
53,1,20,6,2,4,5,22,3,2,4,14
54,1,20,29,2,1,14,3,5,1,1,14
55,1,20,9,3,1,2,7,3,1,4,8
56,1,20,4,1,2,7,3,3,1,3,5
57,1,20,7,2,4,5,22,3,1,4,23
58,1,20,22,1,2,6,12,3,3,4,13
59,1,14,7,2,3,4,5,3,2,4,17
60,1,8,13,2,1,16,22,3,1,4,20
61,1,5,11,2,1,4,13,3,2,4,15
62,1,8,29,4,22,5,13,3,2,4,11
63,1,0,14,2,3,22,4,3,3,3,9
64,1,20,29,2,1,4,5,3,2,3,17
65,1,20,29,2,1,4,5,3,2,3,19
66,1,13,6,5,11,4,9,3,2,4,22
67,1,20,13,2,1,2,16,3,1,4,19
68,1,20,13,2,2,4,3,3,2,4,17
69,1,0,15,1,1,7,14,3,2,4,7
71,1,5,13,6,1,14,3,3,1,4,19
72,1,20,5,6,1,4,9,3,2,3,22
73,1,5,5,6,1,14,12,3,1,3,22
74,1,2,9,2,4,9,20,3,4,4,20
75,1,20,11,1,1,5,12,3,2,4,16
76,1,6,29,1,1,4,5,3,2,3,17
77,1,6,29,1,1,4,5,3,2,3,22
79,1,8,11,4,4,5,10,3,3,4,14
80,1,11,15,1,1,22,12,3,2,5,21
81,1,20,15,1,14,3,2,3,2,3,22
82,1,0,15,1,14,3,22,4,2,2,21
83,1,11,15,1,14,3,5,4,2,1,11
84,1,0,15,1,14,3,2,4,2,3,16
85,1,11,15,1,14,3,22,3,2,5,22
86,1,11,15,1,22,4,12,3,2,5,10
87,1,11,15,7,14,3,22,5,2,1,20
88,1,11,15,8,14,3,22,5,2,1,10
89,1,3,15,1,14,3,22,3,2,5,11
90,1,3,15,1,1,14,3,3,2,5,20
91,1,0,15,1,1,5,12,4,2,2,21
92,1,3,15,1,3,2,22,3,2,5,16
93,1,11,15,1,1,22,12,3,1,5,21
94,1,11,15,1,1,22,12,3,1,5,15
95,1,11,15,1,1,14,3,3,2,5,19
96,1,3,15,1,3,2,22,3,2,5,18
97,1,20,13,1,1,3,2,3,2,4,21
98,1,0,15,1,1,4,5,3,2,4,17
99,1,0,15,1,4,5,7,3,2,4,16
100,1,5,22,2,4,5,7,3,2,3,15
101,1,15,5,4,11,18,5,3,2,3,16
102,1,20,27,2,4,5,6,3,2,4,17
103,1,20,29,2,2,4,7,3,4,6,17
104,1,0,21,2,2,4,17,3,1,4,15
105,1,20,29,2,11,4,6,3,2,3,7
107,1,2,9,2,2,4,7,3,2,3,15
108,1,2,9,8,2,7,22,4,2,2,16
109,1,20,13,1,2,4,12,3,2,4,11
111,1,10,28,1,3,2,4,3,5,5,11
112,1,20,29,1,1,10,2,2,2,3,2
113,1,6,11,1,1,6,3,3,2,4,17
114,1,20,4,2,4,9,19,2,2,4,22
115,1,20,29,1,2,4,7,3,2,3,11
116,1,1,29,1,2,4,6,3,2,4,13
117,1,20,29,1,2,4,7,4,2,3,16
118,1,20,29,1,2,4,7,4,2,2,11
119,1,20,29,4,4,5,6,2,2,3,8
120,1,1,17,2,11,4,5,3,2,4,20
121,1,2,2,2,1,2,4,3,2,5,23
122,1,20,17,2,22,4,18,3,2,5,22
123,1,1,21,2,2,7,13,3,2,5,19
125,1,8,29,1,4,6,9,3,2,3,8
126,1,8,29,1,4,5,6,3,2,3,12
127,1,20,13,3,1,4,7,3,2,4,12
129,1,1,21,2,2,4,18,3,1,5,19
132,1,14,17,2,1,4,5,3,2,5,19
133,1,15,29,4,4,10,6,3,3,3,6
