66, Finished Airing, Genco, J.C.-Staff, 4-koma-manga, Slice of Life, Comedy, School, 24-min.-per-ep., PG-13---Teens-13-or-older, 26, 8.04
67, Finished Airing, GDH, Gonzo, Manga, Action, Adventure, Historical, 24-min.-per-ep., R---17+-(violence-&amp;-profanity), 24, 7.66
68, Finished Airing, GDH, Gonzo, Manga, Adventure, Comedy, Sci-Fi, 24-min.-per-ep., PG-13---Teens-13-or-older, 23, 7.49
69, Finished Airing, Bandai-Visual, Sunrise, Original, Action, Fantasy, Military, 24-min.-per-ep., PG-13---Teens-13-or-older, 25, 6.45
71, Finished Airing, Kadokawa-Shoten, Gonzo, Light-novel, Action, Military, Sci-Fi, 24-min.-per-ep., R---17+-(violence-&amp;-profanity), 24, 7.75
72, Finished Airing, Tatsunoko-Production, Kyoto-Animation, Light-novel, Action, Comedy, School, 24-min.-per-ep., PG-13---Teens-13-or-older, 12, 8.16
73, Finished Airing, Kadokawa-Shoten, Kyoto-Animation, Light-novel, Action, Military, Mecha, 24-min.-per-ep., R---17+-(violence-&amp;-profanity), 13, 8.03
74, Finished Airing, Aniplex, Aniplex, Manga, Comedy, School, Shoujo, 25-min.-per-ep., G---All-Ages, 26, 7.77
75, Finished Airing, TV-Tokyo-Music, Xebec, Original, Action, Drama, Mecha, 24-min.-per-ep., PG-13---Teens-13-or-older, 25, 7.36
76, Finished Airing, Starchild-Records, Estudio-nao-listado, Original, Action, Comedy, Drama, 25-min.-per-ep., PG-13---Teens-13-or-older, 13, 7.49
77, Finished Airing, Starchild-Records, Estudio-nao-listado, Original, Action, Comedy, Drama, 25-min.-per-ep., PG-13---Teens-13-or-older, 13, 8.07
79, Finished Airing, Lantis, Xebec, Visual-novel, Comedy, Drama, Ecchi, 23-min.-per-ep., R+---Mild-Nudity, 24, 7.24
80, Finished Airing, Sotsu, Sunrise, Original, Action, Space, Mecha, 25-min.-per-ep., PG-13---Teens-13-or-older, 43, 7.87
81, Finished Airing, Atelier-Musa, Sunrise, Original, Military, Sci-Fi, Adventure, 24-min.-per-ep., PG-13---Teens-13-or-older, 12, 8.10
82, Finished Airing, Bandai-Visual, Sunrise, Original, Military, Sci-Fi, Space, 27-min.-per-ep., PG-13---Teens-13-or-older, 6, 7.87
83, Finished Airing, Sotsu, Sunrise, Original, Military, Sci-Fi, Drama, 52-min., PG-13---Teens-13-or-older, 1, 6.92
84, Finished Airing, Bandai-Visual, Sunrise, Original, Military, Sci-Fi, Adventure, 30-min.-per-ep., PG-13---Teens-13-or-older, 13, 7.42
85, Finished Airing, Sotsu, Sunrise, Original, Military, Sci-Fi, Space, 24-min.-per-ep., PG-13---Teens-13-or-older, 50, 8.02
86, Finished Airing, Sotsu, Sunrise, Original, Space, Comedy, Mecha, 24-min.-per-ep., PG-13---Teens-13-or-older, 47, 6.76
87, Finished Airing, Sotsu, Sunrise, Novel, Military, Sci-Fi, Space, 1-hr.-59-min., PG-13---Teens-13-or-older, 1, 7.77
88, Finished Airing, Sotsu, Sunrise, Unknown, Military, Sci-Fi, Space, 2-hr., PG-13---Teens-13-or-older, 1, 6.81
89, Finished Airing, TV-Asahi, Sunrise, Original, Military, Sci-Fi, Space, 24-min.-per-ep., PG-13---Teens-13-or-older, 51, 6.89
90, Finished Airing, TV-Asahi, Sunrise, Original, Action, Military, Sci-Fi, 24-min.-per-ep., PG-13---Teens-13-or-older, 49, 7.84
91, Finished Airing, Bandai-Visual, Sunrise, Original, Action, Drama, Mecha, 30-min.-per-ep., PG-13---Teens-13-or-older, 3, 7.86
92, Finished Airing, TV-Asahi, Sunrise, Original, Sci-Fi, Adventure, Space, 24-min.-per-ep., PG-13---Teens-13-or-older, 39, 7.38
93, Finished Airing, Sotsu, Sunrise, Original, Action, Space, Mecha, 24-min.-per-ep., R---17+-(violence-&amp;-profanity), 50, 7.88
94, Finished Airing, Sotsu, Sunrise, Original, Action, Space, Mecha, 24-min.-per-ep., R---17+-(violence-&amp;-profanity), 50, 7.32
95, Finished Airing, Sotsu, Sunrise, Original, Action, Military, Sci-Fi, 24-min.-per-ep., PG-13---Teens-13-or-older, 50, 7.75
96, Finished Airing, TV-Asahi, Sunrise, Original, Sci-Fi, Adventure, Space, 24-min.-per-ep., PG-13---Teens-13-or-older, 49, 7.61
97, Finished Airing, GDH, Gonzo, Original, Action, Sci-Fi, Adventure, 24-min.-per-ep., PG-13---Teens-13-or-older, 26, 7.90
98, Finished Airing, Bandai-Visual, Sunrise, Original, Action, Comedy, Drama, 23-min.-per-ep., PG-13---Teens-13-or-older, 26, 7.55
99, Finished Airing, Bandai-Visual, Sunrise, Original, Comedy, Drama, Fantasy, 24-min.-per-ep., PG-13---Teens-13-or-older, 26, 7.37
100, Finished Airing, Kadokawa-Shoten, Funimation, Manga, Comedy, Drama, Fantasy, 23-min.-per-ep., PG-13---Teens-13-or-older, 13, 7.30
101, Finished Airing, Pony-Canyon, Kyoto-Animation, Visual-novel, Slice of Life, Supernatural, Drama, 24-min.-per-ep., PG-13---Teens-13-or-older, 12, 7.42
102, Finished Airing, Animax, TMS-Entertainment, Manga, Comedy, Drama, Romance, 25-min.-per-ep., PG-13---Teens-13-or-older, 26, 7.55
103, Finished Airing, Nihon-Ad-Systems, Estudio-nao-listado, Manga, Adventure, Comedy, Fantasy, 24-min.-per-ep., G---All-Ages, 74, 7.46
104, Finished Airing, Bandai-Visual, Studio-Pierrot, Manga, Adventure, Comedy, Horror, 21-min.-per-ep., R---17+-(violence-&amp;-profanity), 24, 7.34
105, Finished Airing, Audio-Tanaka, Estudio-nao-listado, Manga, Slice of Life, Comedy, Romance, 23-min.-per-ep., PG-13---Teens-13-or-older, 13, 6.54
107, Finished Airing, Aniplex, Aniplex, Manga, Adventure, Comedy, Fantasy, 24-min.-per-ep., PG-13---Teens-13-or-older, 13, 7.32
108, Finished Airing, Aniplex, Aniplex, Unknown, Adventure, Fantasy, Psychological, 30-min.-per-ep., PG-13---Teens-13-or-older, 3, 7.39
109, Finished Airing, GDH, Gonzo, Original, Adventure, Comedy, Mecha, 23-min.-per-ep., PG-13---Teens-13-or-older, 24, 6.90
111, Finished Airing, NHK, Nippon-Animation, Original, Sci-Fi, Adventure, Comedy, 25-min.-per-ep., PG---Children, 52, 6.90
112, Finished Airing, m.o.e., Estudio-nao-listado, Original, Action, Ecchi, Adventure, 14-min.-per-ep., PG-13---Teens-13-or-older, 8, 5.05
113, Finished Airing, Starchild-Records, Xebec, Original, Action, Romance, Sci-Fi, 23-min.-per-ep., PG-13---Teens-13-or-older, 26, 7.46
114, Finished Airing, TV-Tokyo-Music, Production-I.G, Manga, Comedy, School, Shounen, 12-min.-per-ep., PG-13---Teens-13-or-older, 26, 8.00
115, Finished Airing, Pioneer-LDC, Estudio-nao-listado, Original, Adventure, Comedy, Fantasy, 25-min.-per-ep., PG-13---Teens-13-or-older, 13, 6.91
